id,size,pos,proteins,annotated_proteins
MD_0332,2,332,15.0,16.0
MD_0333,2,333,13.0,13.0
MD_0334,2,334,14.0,15.0
MD_0335,2,335,13.0,14.0
MD_0336,2,336,11.0,12.0
MD_0337,2,337,8.0,10.0
MD_0338,2,338,10.0,10.0
MD_0339,2,339,9.0,10.0
MD_0340,2,340,10.0,10.0
MD_0341,2,341,8.0,9.0
MD_0342,2,342,8.0,9.0
MD_0343,2,343,5.0,9.0
MD_0344,2,344,5.0,7.0
MD_0345,2,345,4.0,6.0
MD_0346,2,346,10.0,10.0
MD_0347,2,347,6.0,6.0
MD_0348,2,348,11.0,11.0
MD_0349,2,349,8.0,8.0
MD_0350,2,350,6.0,6.0
MD_0351,2,351,8.0,8.0
MD_0352,2,352,8.0,8.0
MD_0353,2,353,8.0,8.0
MD_0354,2,354,8.0,8.0
MD_0355,2,355,8.0,8.0
MD_0356,2,356,10.0,10.0
MD_0357,2,357,8.0,8.0
MD_0358,2,358,6.0,6.0
MD_0359,2,359,8.0,8.0
MD_0360,2,360,8.0,9.0
MD_0361,2,361,8.0,8.0
MD_0362,2,362,8.0,9.0
MD_0363,2,363,7.0,8.0
MD_0364,2,364,8.0,8.0
MD_0365,2,365,8.0,8.0
MD_0366,2,366,7.0,7.0
MD_0367,2,367,6.0,8.0
MD_0368,2,368,6.0,8.0
MD_0369,2,369,7.0,7.0
MD_0370,2,370,7.0,7.0
MD_0371,2,371,8.0,8.0
MD_0372,2,372,7.0,7.0
MD_0373,2,373,7.0,8.0
MD_0374,2,374,7.0,7.0
MD_0375,2,375,6.0,6.0
MD_0376,2,376,6.0,6.0
MD_0377,2,377,6.0,6.0
MD_0378,2,378,6.0,6.0
MD_0379,2,379,6.0,6.0
MD_0380,2,380,6.0,6.0
MD_0381,2,381,6.0,6.0
MD_0382,2,382,6.0,6.0
MD_0383,2,383,6.0,6.0
MD_0384,2,384,6.0,6.0
MD_0385,2,385,6.0,6.0
MD_0386,2,386,6.0,6.0
MD_0387,2,387,6.0,6.0
MD_0388,2,388,6.0,6.0
MD_0389,2,389,6.0,6.0
