pos_module,pos_cluster,sig,id_module,size_module,pos_module,proteins,annotated_proteins,id_cluster,size_cluster,pos_cluster
371,246,6.636574040822311,MD_0371,2,371,8.0,8.0,CC_246,4,246
372,74,1.8345875461584829,MD_0372,2,372,7.0,7.0,CC_074,4,74
374,206,2.4359287050756055,MD_0374,2,374,7.0,7.0,CC_206,3,206
375,195,2.6789667537618893,MD_0375,2,375,6.0,6.0,CC_195,3,195
376,65,1.3795543761236244,MD_0376,2,376,6.0,6.0,CC_065,6,65
377,57,2.077445775168311,MD_0377,2,377,6.0,6.0,CC_057,4,57
382,170,2.678966753761711,MD_0382,2,382,6.0,6.0,CC_170,6,170
383,195,2.6789667537618893,MD_0383,2,383,6.0,6.0,CC_195,3,195
386,232,2.378296025580429,MD_0386,2,386,6.0,6.0,CC_232,4,232
388,74,3.3779367580977313,MD_0388,2,388,6.0,6.0,CC_074,4,74
