Genome	3_B_IMP_host_removed_R1.fastq.gz Trimmed Mean	3_B_IMP_host_removed_R1.fastq.gz Covered Fraction
virome_phage_1507	0	0
total_phage_735	0	0
virome_phage_746	0	0
total_phage_231	0	0
virome_phage_865	0	0
virome_phage_15	0	0
total_phage_299	0	0
virome_phage_92	0	0
virome_phage_769	0	0
virome_phage_1467	0	0
virome_phage_736	0	0
virome_phage_815	0	0
virome_phage_65	0	0
total_phage_745	0	0
virome_phage_2288	0	0
total_phage_414	0	0
virome_phage_2342	0	0
virome_phage_72	0	0
virome_phage_789	0	0
virome_phage_802	0	0
virome_phage_960	0	0
virome_phage_997	0	0
virome_phage_2268	0	0
virome_phage_2355	0	0
virome_phage_2237	3.032825	0.9067139
virome_phage_318	0	0
virome_phage_183	0	0
virome_phage_2325	0	0
virome_phage_104	0	0
virome_phage_751	0	0
virome_phage_885	0	0
virome_phage_2324	0	0
total_phage_800	0	0
virome_phage_1873	0	0
virome_phage_884	0	0
virome_phage_750	0	0
virome_phage_911	0	0
total_phage_176	0	0
virome_phage_84	0	0
virome_phage_803	0	0
total_phage_106	0	0
virome_phage_788	0	0
virome_phage_73	0	0
virome_phage_2269	0	0
total_phage_111	0	0
virome_phage_64	0	0
virome_phage_814	0	0
total_phage_240	0	0
virome_phage_768	0	0
total_phage_415	0	0
virome_phage_2343	0	0
virome_phage_112	0	0
virome_phage_2333	0	0
total_phage_609	15.807404	0.968311
total_phage_734	0	0
total_phage_92	0	0
total_phage_298	0	0
virome_phage_14	0	0
virome_phage_906	0	0
virome_phage_864	0	0
virome_phage_747	0	0
virome_phage_893	0	0
virome_phage_2914	0	0
